cik,cusip6,cusip8
1019034.0,09060C,09060C10
825410.0,51476K,51476K10
948072.0,091283,09128320
1273441.0,196621,19662150
73756.0,120108,12010866
1488309.0,26927B,26927B20
1579684.0,64704V,64704V10
1172724.0,38059T,38059T10
1485964.0,711037,71103710
1231346.0,811916,81191610
107140.0,968223,96822320
1009672.0,140781,14078110
1561743.0,494577,49457710
882150.0,09255E,09255E10
1013880.0,879939,87993910
1489136.0,81663A,81663A10
1374535.0,02208R,02208R10
1556593.0,64828T,64828T10
1566049.0,M2239P,M2239P10
921503.0,09643P,09643P20
1438893.0,36465E,36465E10
1035683.0,059460,05946030
894239.0,26432K,26432K10
728249.0,460593,46059310
1036044.0,45170X,45170X20
1088312.0,90456P,90456P30
1388028.0,358748,35874810
34067.0,267888,26788810
1393299.0,092524,09252410
313807.0,979723,97972381
1338065.0,23311P,23311P10
1378946.0,233531,23353164
1551060.0,74906P,74906P10
1397807.0,03216B,03216B20
40570.0,369730,36973010
763901.0,733174,73317470
1107843.0,74758T,74758T30
1116284.0,302046,30204610
1527709.0,59560V,59560V10
1592379.0,698814,69881410
1050743.0,704699,70469910
319655.0,798241,79824110
912833.0,954235,95423510
1397187.0,550021,55002110
1374328.0,33817P,33817P10
1136294.0,37941P,37941P30
1551182.0,284157,28415730
895528.0,46132K,46132K10
783324.0,927926,92792630
1048685.0,591176,59117610
1522807.0,11273Q,11273Q10
1120914.0,693282,69328210
1096199.0,36846Q,36846Q20
1064728.0,704549,70454910
1498576.0,100015,100015
1492691.0,87074U,87074U10
1509589.0,097793,09779310
1020011.0,927864,92786410
880892.0,46131M,46131M10
1579157.0,92719W,92719W10
1315695.0,774415,77441510
91576.0,532999,53299941
827187.0,81616X,81616X10
1562151.0,22662X,22662X10
910606.0,758849,75884910
738214.0,00770K,00770K20
726854.0,177835,17783510
1375514.0,G6209T,G6209T10
1402371.0,29015T,29015T50
1160142.0,45882L,45882L10
904163.0,028591,02859110
754811.0,902952,90295210
1162030.0,018714,01871410
318673.0,814785,81478530
1357204.0,265504,26550410
1508478.0,G0457F,G0457F10
1034665.0,09253N,09253N10
277595.0,29265N,29265N10
1503123.0,233051,23305170
862692.0,228895,22889510
850209.0,102377,10237795
1520697.0,00404A,00404A10
799231.0,771980,771980
902791.0,445369,445369
1329099.0,056752,05675210
1001907.0,046484,04648410
1606645.0,M46135,M4613510
1009001.0,243384,24338452
874243.0,397402,39740200
319458.0,29358Y,29358Y10
350199.0,127150,12715030
1510295.0,296126,29612619
1547635.0,556777,55677710
1485001.0,682479,68247910
946647.0,677121,677121
1021270.0,307068,30706810
1297336.0,75525F,75525F10
1118237.0,578877,57887710
1253986.0,038923,03892310
1302084.0,29269X,29269X10
1219601.0,228368,22836810
1574815.0,86101X,86101X10
1322422.0,443628,44362810
750686.0,514744,514744
940944.0,106270,10627065
18172.0,148411,14841110
1333493.0,28238P,28238P10
1104506.0,457669,45766930
1261654.0,913915,91391510
743988.0,983919,98391910
1518557.0,56064K,56064K10
907562.0,109544,10954426
920532.0,M7946T,M7946T10
1167140.0,22051P,22051P10
1585854.0,Y8213L,Y8213L10
1127706.0,67069X,67069X10
1169561.0,204166,20416610
311471.0,746551,746551
897419.0,67061E,67061E10
1483510.0,30219E,30219E10
1035443.0,015271,01527110
933034.0,863111,86311110
945764.0,247916,24791620
1131399.0,288448,28844832
1042810.0,294752,29475210
1462586.0,95790A,95790A10
1389170.0,87612G,87612G10
1399587.0,09531B,09531B20
1175680.0,23283M,23283M10
1285819.0,682143,68214310
1437106.0,043632,04363210
1141103.0,227483,22748310
1161315.0,98600P,98600P20
904112.0,61744H,61744H10
16040.0,127055,12705510
96966.0,119603,11960341
1166003.0,983793,98379310
1522065.0,761131,76113110
1321646.0,50077C,50077C10
1567683.0,62942X,62942X10
86264.0,14115T,14115T10
1329394.0,82706C,82706C10
59527.0,533900,53390010
1315718.0,922101,92210110
